Marca temporal,¿Cuál es tu rango de edad? ,  ¿Cuál es tu nivel de estudios más alto completado?  ,¿En qué tipo de zona vives actualmente?  ,  ¿Posees un teléfono inteligente (Smartphone)?  ,"  ¿Con qué frecuencia utilizas aplicaciones en tu teléfono (redes sociales, mensajería, etc.)?  ","  En una escala del 1 al 5, ¿Qué tan cómodo(a) te sientes aprendiendo a usar una nueva aplicación? (1=Muy incómodo, 5=Muy cómodo)  ",  ¿Cuál es tu principal medio para enterarte de iniciativas o eventos en tu comunidad?  ,  ¿Alguna vez has participado como voluntario(a) en alguna causa social?  ,  ¿Cuál sería tu principal motivación para ser voluntario(a)?  ,  ¿Cuál es la principal barrera que te impide ser voluntario(a) o hacerlo más seguido? (Elige la más importante)  ,"  Si decidieras ser voluntario(a), ¿Cuántas horas a la semana podrías dedicar?  ","  En una escala del 1 al 5, ¿qué tan importante es para ti la flexibilidad de horarios al momento de elegir una actividad de voluntariado? (1=Nada importante, 5=Extremadamente importante)  ",  ¿Qué tipo de tareas te interesaría más realizar en una cocina comunitaria? (Elige hasta dos)  ,"  En una escala del 1 al 5, ¿qué tan importante es para ti saber que los recursos (dinero y donaciones) de una organización se usan de forma transparente?  ",Ver Oportunidades Claras: Poder ver en la app una lista de tareas disponibles en la cocina comunitaria con descripciones claras.  ,Inscripción Fácil: Poder registrarte como voluntario y apuntarte a una tarea con solo un par de clics.  ,"Horarios Flexibles: Poder filtrar tareas que se ajusten a tu disponibilidad de tiempo (ej. ""solo sábados por la mañana"").  ","Perfil de Habilidades: Poder crear un perfil indicando tus habilidades para que la app te sugiera tareas donde serías de más ayuda (ej. si sabes de contabilidad, te sugiere ayudar con las finanzas).  ",Transparencia Financiera: Tener acceso a reportes simples que muestren cómo se gasta el dinero de la cocina en alimentos. ,Recordatorios y Comunicación Centralizada: Recibir recordatorios automáticos de tus tareas y comunicarte con los coordinadores a través de la misma app.  ,"Reconocimiento de tu Impacto: Recibir mensajes y estadísticas que muestren el impacto de tu ayuda (ej. ""Con tu participación esta semana, se alimentaron a 50 personas"").  ",Ver el Inventario de Alimentos: Poder ver qué alimentos se necesitan para decidir qué donar.,"Seguimiento de Donaciones: Si donas dinero o alimentos, poder ver en la app cuándo se recibieron y cómo se utilizaron.  ",Sistema de Gamificación: Ganar puntos o insignias por las horas de voluntariado completadas.  ,"Plataforma Unificada: En general, ¿qué tanto te motivaría una app que organice todo el proceso de voluntariado (encontrar, inscribirse, participar y ver el impacto) en un solo lugar? "
24/9/2025 9:00:35,18-25 años,Licenciatura o superior,Rural,Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Aprender nuevas habilidades,Falta de tiempo / Horarios inflexibles,"No podría comprometerme semanalmente, pero sí para eventos específicos",3,Servir la comida e interactuar con la gente,4,3,3,3,3,3,3,3,3,3,3,3
24/9/2025 9:39:19,26-35 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,3,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Aprender nuevas habilidades,No saber por dónde empezar o cómo encontrar oportunidades,1-3 horas,4,"Tareas logísticas (compras, organizar inventario)",4,3,3,3,3,3,3,4,4,4,3,3
24/9/2025 10:05:19,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Conocer gente nueva,"Falta de tiempo / Horarios inflexibles, No saber por dónde empezar o cómo encontrar oportunidades",1-3 horas,3,"Tareas logísticas (compras, organizar inventario), Tareas administrativas (contabilidad, comunicación)",3,3,3,4,4,5,2,4,5,3,3,3
24/9/2025 10:37:12,18-25 años,Bachillerato / Preparatoria,Rural,Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, de forma regular",Contribuir a una causa en la que creo,Falta de tiempo / Horarios inflexibles,"No podría comprometerme semanalmente, pero sí para eventos específicos",3,"Tareas administrativas (contabilidad, comunicación)",5,4,4,4,4,5,5,5,5,5,4,4
24/9/2025 10:48:19,18-25 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Contribuir a una causa en la que creo,No saber por dónde empezar o cómo encontrar oportunidades,1-3 horas,5,"Tareas logísticas (compras, organizar inventario), Tareas administrativas (contabilidad, comunicación)",5,4,5,5,5,5,5,5,5,5,5,5
24/9/2025 10:57:43,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,3,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, y no me interesa",Aprender nuevas habilidades,Falta de tiempo / Horarios inflexibles,"No podría comprometerme semanalmente, pero sí para eventos específicos",4,Cocinar y preparar alimentos,5,3,2,4,4,3,2,3,3,5,3,4
24/9/2025 11:01:59,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Contribuir a una causa en la que creo,Falta de tiempo / Horarios inflexibles,1-3 horas,5,"Tareas administrativas (contabilidad, comunicación)",5,3,5,5,5,5,5,5,5,5,5,5
24/9/2025 11:04:50,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,3,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Aprender nuevas habilidades,"Falta de tiempo / Horarios inflexibles, No saber por dónde empezar o cómo encontrar oportunidades",1-3 horas,5,"Tareas logísticas (compras, organizar inventario), Servir la comida e interactuar con la gente",4,5,5,5,5,3,5,3,5,3,5,5
24/9/2025 11:05:02,18-25 años,Licenciatura o superior,Rural,Sí,Varias veces al día,1,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, y no me interesa",Aprender nuevas habilidades,Falta de tiempo / Horarios inflexibles,1-3 horas,1,Limpieza y mantenimiento,3,1,1,1,1,1,1,1,1,1,1,1
24/9/2025 11:09:06,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Sentirme útil y parte de la comunidad,"Falta de tiempo / Horarios inflexibles, No sentir que mis habilidades sean útiles",1-3 horas,3,"Tareas logísticas (compras, organizar inventario), Limpieza y mantenimiento",3,3,4,3,4,4,4,4,4,3,4,3
24/9/2025 11:12:09,36-50 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,1,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Contribuir a una causa en la que creo,Falta de tiempo / Horarios inflexibles,1-3 horas,4,"Tareas administrativas (contabilidad, comunicación)",4,5,5,3,4,3,4,4,4,4,4,4
24/9/2025 11:16:49,18-25 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Sentirme útil y parte de la comunidad,"Falta de tiempo / Horarios inflexibles, No saber por dónde empezar o cómo encontrar oportunidades, Falta de información clara sobre las actividades","No podría comprometerme semanalmente, pero sí para eventos específicos",5,"Tareas administrativas (contabilidad, comunicación), Servir la comida e interactuar con la gente",5,5,5,5,5,5,5,5,5,5,5,5
24/9/2025 11:19:51,26-35 años,Secundaria,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Aprender nuevas habilidades,Falta de tiempo / Horarios inflexibles,"No podría comprometerme semanalmente, pero sí para eventos específicos",5,"Tareas administrativas (contabilidad, comunicación)",5,4,4,5,4,5,5,5,5,5,5,4
24/9/2025 11:23:10,18-25 años,Primaria,Urbana (Ciudad),Sí,Varias veces al día,2,Carteles o anuncios físicos,"Sí, una o dos veces",Aprender nuevas habilidades,No saber por dónde empezar o cómo encontrar oportunidades,1-3 horas,1,Cocinar y preparar alimentos,1,1,2,3,2,3,3,4,4,4,4,3
24/9/2025 11:27:29,Menos de 18,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Aprender nuevas habilidades,Falta de tiempo / Horarios inflexibles,1-3 horas,4,"Cocinar y preparar alimentos, Limpieza y mantenimiento",3,3,3,3,3,2,4,2,4,3,3,3
24/9/2025 11:28:40,36-50 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Sentirme útil y parte de la comunidad,Falta de tiempo / Horarios inflexibles,1-3 horas,5,"Tareas logísticas (compras, organizar inventario)",5,5,5,5,5,2,4,5,3,3,3,5
24/9/2025 11:51:19,Menos de 18,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, y no me interesa",Conocer gente nueva,No sentir que mis habilidades sean útiles,1-3 horas,3,Cocinar y preparar alimentos,5,4,3,3,3,3,3,3,3,3,5,3
24/9/2025 12:06:34,26-35 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Contribuir a una causa en la que creo,Falta de tiempo / Horarios inflexibles,"No podría comprometerme semanalmente, pero sí para eventos específicos",5,Servir la comida e interactuar con la gente,5,4,4,5,4,5,4,5,5,5,5,5
24/9/2025 12:08:17,36-50 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Contribuir a una causa en la que creo,Falta de tiempo / Horarios inflexibles,4-6 horas,5,"Tareas logísticas (compras, organizar inventario)",5,5,5,5,5,5,5,5,5,5,5,5
24/9/2025 12:30:41,51-65 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Aprender nuevas habilidades,No saber por dónde empezar o cómo encontrar oportunidades,"No podría comprometerme semanalmente, pero sí para eventos específicos",3,"Tareas administrativas (contabilidad, comunicación)",5,3,4,5,5,4,4,4,4,5,3,5
24/9/2025 12:33:35,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Aprender nuevas habilidades,Falta de tiempo / Horarios inflexibles,"No podría comprometerme semanalmente, pero sí para eventos específicos",5,"Tareas logísticas (compras, organizar inventario)",3,4,5,5,5,4,5,4,4,5,5,5
24/9/2025 12:41:08,36-50 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, de forma regular",Sentirme útil y parte de la comunidad,Falta de tiempo / Horarios inflexibles,4-6 horas,5,"Cocinar y preparar alimentos, Servir la comida e interactuar con la gente",5,5,5,5,5,5,5,5,5,5,5,5
24/9/2025 12:53:10,51-65 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, de forma regular",Sentirme útil y parte de la comunidad,Falta de tiempo / Horarios inflexibles,1-3 horas,5,Cocinar y preparar alimentos,5,5,5,5,2,2,4,3,3,3,3,3
24/9/2025 13:10:01,18-25 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,3,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Aprender nuevas habilidades,Falta de tiempo / Horarios inflexibles,"No podría comprometerme semanalmente, pero sí para eventos específicos",5,"Tareas logísticas (compras, organizar inventario)",5,4,5,5,3,4,5,5,5,5,5,5
24/9/2025 13:25:58,51-65 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, de forma regular",Contribuir a una causa en la que creo,Falta de tiempo / Horarios inflexibles,1-3 horas,1,Cocinar y preparar alimentos,5,5,5,5,5,5,5,5,5,5,5,5
24/9/2025 13:54:47,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Contribuir a una causa en la que creo,"No saber por dónde empezar o cómo encontrar oportunidades, Falta de información clara sobre las actividades","No podría comprometerme semanalmente, pero sí para eventos específicos",5,"Cocinar y preparar alimentos, Servir la comida e interactuar con la gente, Limpieza y mantenimiento",4,5,5,5,5,5,5,5,5,5,4,5
24/9/2025 13:55:28,36-50 años,Secundaria,Urbana (Ciudad),No,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Contribuir a una causa en la que creo,No saber por dónde empezar o cómo encontrar oportunidades,1-3 horas,2,Cocinar y preparar alimentos,3,3,3,3,3,3,3,4,4,3,4,5
24/9/2025 14:41:23,Menos de 18,Secundaria,Urbana (Ciudad),Sí,Varias veces al día,3,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, de forma regular",Conocer gente nueva,"Falta de tiempo / Horarios inflexibles, No saber por dónde empezar o cómo encontrar oportunidades, Falta de información clara sobre las actividades",1-3 horas,5,"Cocinar y preparar alimentos, Tareas logísticas (compras, organizar inventario), Servir la comida e interactuar con la gente",4,3,3,3,3,3,4,4,3,3,3,3
24/9/2025 16:47:18,36-50 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,3,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Contribuir a una causa en la que creo,"Falta de tiempo / Horarios inflexibles, No saber por dónde empezar o cómo encontrar oportunidades",1-3 horas,5,"Tareas logísticas (compras, organizar inventario), Tareas administrativas (contabilidad, comunicación)",5,5,5,5,5,5,5,5,5,5,5,5
24/9/2025 20:47:39,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Sentirme útil y parte de la comunidad,"Falta de tiempo / Horarios inflexibles, No sentir que mis habilidades sean útiles",1-3 horas,3,"Tareas logísticas (compras, organizar inventario), Limpieza y mantenimiento",4,4,4,4,4,4,5,5,4,4,4,4
24/9/2025 20:48:42,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Sentirme útil y parte de la comunidad,"Falta de tiempo / Horarios inflexibles, No sentir que mis habilidades sean útiles",1-3 horas,4,"Tareas logísticas (compras, organizar inventario), Limpieza y mantenimiento",4,4,4,4,4,4,4,3,4,4,4,4
24/9/2025 22:42:08,26-35 años,Secundaria,Rural,No,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Aprender nuevas habilidades,No saber por dónde empezar o cómo encontrar oportunidades,1-3 horas,4,Limpieza y mantenimiento,4,5,4,5,4,3,4,4,4,4,4,5
